suburb_id,suburb_name,centroid_lat,centroid_lon,area_sqkm,total_pop,median_hhd_inc_weekly,median_rent_weekly,median_age,median_sale_price_12m,n_sales_12m,price_5yr_cagr,offences_12mo,crime_per_1000,distance_km,commute_minutes_cbd,affordability_raw,commute_raw,growth_raw,lifestyle_raw,affordability_norm,commute_norm,lifestyle_norm,growth_norm
12514,Marrickville,-33.91227182199994,151.1559287015001,5.7714,26570,2170,480,37,1471000.0,632,0.05046833687966745,2406,90.55325555137372,6.411439434594441,9.617159151891661,-0.18422841604350781,-9.617159151891661,0.05046833687966745,-0.28323158878499133,30.74674476819194,92.4035359989724,52.73619732500183,66.22371509979556
12515,Marsden Park,-33.70768011699995,150.83042904700005,12.8957,14610,2722,570,32,1165000.0,822,0.019069988890819456,690,47.227926078028744,39.353517636729016,59.03027645509353,0.030042918454935622,-59.03027645509353,0.019069988890819456,0.3736456359772449,41.60946895352259,41.315462590086156,65.91068619163178,54.79252301990501
12516,Marsfield,-33.777502431499954,151.10509331650005,3.8632,12492,1943,475,39,1250000.0,337,0.025430623236254668,302,24.175472302273455,14.192857397665335,21.289286096498003,-0.04,-21.289286096498003,0.025430623236254668,0.025639416475491034,38.05856511427339,80.33575904564003,58.93098908612877,57.10823826003305
12529,Mascot,-33.94658735549994,151.18371172900007,11.9607,21591,2254,600,30,958000.0,862,0.002609023858231474,1306,60.48816636561531,8.446973948747381,12.670460923121071,0.25260960334029225,-12.670460923121071,0.002609023858231474,-0.021856019533374463,52.892735174887314,89.24673647809006,57.97840910721258,48.7995818252056
12530,Matcham,-33.404191203499934,151.42473880650005,8.8479,1038,3360,550,44,3210000.0,19,-0.01602252291085504,20,19.267822736030826,55.90436040631714,83.8565406094757,-0.6261682242990654,-83.8565406094757,-0.01602252291085504,0.980777861128352,8.342113486853153,15.647662726237208,78.08747728637668,42.01639724687881
12534,Matraville,-33.964020789999964,151.23343015350002,3.933,9925,2075,480,42,2300000.0,256,0.0183608813392091,538,54.20654911838791,10.402104905149026,15.60315735772354,-0.4782608695652174,-15.60315735772354,0.0183608813392091,-0.09505059388552582,15.840441731349719,86.2146304521211,56.510400979439275,54.53435833459616
12548,Mays Hill,-33.82118445649993,150.98881241300006,0.299,1902,2076,435,31,613000.0,95,-0.0022683318588054835,134,70.45215562565721,20.951461512781076,31.427192269171613,0.9575856443719413,-31.427192269171613,-0.0022683318588054835,-0.20612023519987144,88.63228152586584,69.85420833545261,54.28276132661666,47.02388362403895
12552,McGraths Hill,-33.613039540999964,150.84178894650006,3.0932,2537,2177,450,34,1122500.0,92,0.028575905702674875,77,30.3508080409933,44.45104896198993,66.6765734429849,0.06904231625835189,-66.6765734429849,0.028575905702674875,0.13532803492178103,43.586586904106774,33.40997912449983,61.13093060950817,58.25334079956574
12557,McMahons Point,-33.84549313599996,151.2030104540001,0.3492,2315,2568,580,44,1280000.0,115,-0.0735078595045644,60,25.91792656587473,3.090685740334482,4.6360286105017225,-0.0625,-4.6360286105017225,-0.0735078595045644,0.4200561565225133,36.91790252988222,97.55351188890242,66.84150684299394,21.087718941470875
12560,Meadowbank (NSW),-33.81618978999994,151.0882469240001,0.6855,5089,1993,430,34,670000.0,356,-0.004998780272456038,156,30.654352525054037,12.653960740988753,18.98094111148313,0.7910447761194029,-18.98094111148313,-0.004998780272456038,0.013596575924096993,80.18930653974628,82.72234998512388,58.6894549564832,46.02980965900876
